M1_P1,M1_P2,M2_P1,M2_P2
9.911242309594832101e-01,5.000000000000000000e-01,-1.100969094087768108e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.107828932979541214e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.403833397576633502e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.091070112616735699e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.089771229042915346e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.391958268002957411e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.046066386461342868e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.373307091579424544e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.316634134663234423e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.596286517622403922e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.486860874241329178e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.072792752390933302e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-9.838157189900501587e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.403727894874633231e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-9.709201888018132998e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-8.768611282188409906e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-9.835568960195227861e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.066748108274741647e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-9.517244131456618073e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.621491527421922818e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.248722638877558300e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-8.126191322534049855e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.556624991551435189e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-6.925247023144001091e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.406565054618531541e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.627978165349564854e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-6.258993532940988480e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-6.839740005273233781e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-4.481788758200170308e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-3.866759485446512601e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-3.685727793639022587e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.064786856691979144e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.504175518178634541e-01,2.000000000000000000e+00
